e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,180,0.5,1,1,1,8,59.2,6.236802e-05
1,180,0.8,1,1,400,360,2.777778,0.001443589
1,600,0.8,1,1,50,256,3.515625,0.0001195165
1,16,5,1,1,600,410,2.45098,0.002463271
1,500,2,1,1,1000,164,6.25,0.001647063
1,220,0.1,1,1,8,164,6.25,2.01701e-05
1,120,3,1,1,220,340,2.97619,0.0007517822
1,220,3,1,1,700,24,41.66667,0.000210468
1,800,1,1,1,100,164,5.625,0.0001540262
1,8,1,1,1,24,380,2.659574,9.46603e-05
1,100,2,1,1,500,192,5.208333,0.000966016
1,8,2,1,1,32,360,2.777778,0.0001187787
1,800,0.3,1,1,180,320,3.125,0.0005799296
1,50,0.8,1,1,1000,192,5.208333,0.001926024
1,120,9,1,1,8,32,31.25,3.717004e-05
1,16,5,1,1,24,300,3.378378,7.617895e-05
1,100,2,1,1,50,12,125,0.0001378001
1,220,8,1,1,220,256,3.90625,0.0005679108
1,12,7,1,1,12,300,3.378378,4.017867e-05
1,300,0.3,1,1,50,320,3.125,0.0001639263
1,1000,8,1,1,4,380,2.659574,1.105964e-05
1,500,10,1,1,300,410,2.45098,0.001233261
1,220,3,1,1,2,340,2.97619,1.057624e-05
1,400,6,1,1,700,192,5.208333,0.001350019
1,600,5,1,1,500,380,2.659574,0.0009534672
1,24,0.8,1,1,700,192,5.208333,0.001350019
1,700,7,1,1,16,8,125,0.00013092
1,32,0.3,1,1,2,16,62.5,6.8324e-05
1,180,1,1,1,300,360,2.777778,0.001083586
1,32,6,1,1,12,164,6.25,2.673016e-05
1,180,0.8,1,1,32,360,2.777778,0.0001187787
1,600,0.5,1,1,180,24,37.5,7.718031e-05
1,800,7,1,1,32,192,5.208333,3.672858e-05
1,32,0.5,1,1,400,256,3.90625,0.001028714
1,32,9,1,1,120,8,125,0.0001354001
1,8,0.1,1,1,100,256,3.90625,0.0002607083
1,12,0.8,1,1,8,64,15.625,2.1545e-05
1,600,8,1,1,600,8,125,0.0001498002
1,100,3,1,1,24,164,6.25,4.641031e-05
1,50,3,1,1,16,24,41.6667,5.01467e-05
1,700,8,1,1,2,16,62.5,6.832404e-05
1,16,9,1,1,100,24,41.6667,6.64669e-05
1,100,8,1,1,100,16,62.5,7.93001e-05
1,1000,0.8,1,1,12,24,37.5,4.348404e-05
1,8,4,1,1,400,8,125,0.0001578003
1,220,10,1,1,500,256,3.90625,0.001284716
